1602822161# #快讯|广州花都发现1例新冠肺炎疑似病例快讯|广州花都发现1例新冠肺炎疑似病例
1651539584# #分享图片
1602930422# #澳研究：新冠病毒可在手机屏幕等物体表面存活28天--澳新频道--人民网（分享自
1660607633# #分享图片
1638190758# #中国文学文化博大精深，学学这些合体字，文学艺术融为一体，真有趣！
1644383604# #分享视频
1681349669# #【华为浏览器】风暴席卷全美！美国又传来重大噩耗，多人当场死亡，拜登紧急喊话
1687755278# #音乐伴奏+溪流声，八零后老人表达愉悦的心情赞鲜花
1573554341# #《佛教：运气不好时，心里默念这3句话，好运自来！》佛菩萨度化众生，并不都是简单援助，有时更是一种逆境重生，让你更加强大。
1687743451# #亲们早上好！。今天是2023年6月26日星期一，阴历五月初九。。武汉市今天晴天，西南风一级，22℃~33℃，空气污染29（优），空气湿度98%。明天晴天转多云，气温25℃~34℃。。别人越是瞧不上你，你就越要努力，别人越是打击你，你越要做出成绩来。活着的意义并不是衣食无忧
1619794208# #凤凰新闻【日本将“从军慰安妇”改为“慰安妇”，中韩外交部同一天接连表态】4月29日，中韩外交部就日本将“从军慰安妇”改为“慰安妇”一事接连表态。中国外交部发言人汪文斌表...
1666225863# #分享图片
1643415424# #分享图片
1630750241# #分享图片
1614079830# #凤凰新闻【儿童时期的一口“二手烟”，危害可能跟到中年】走在路上、办公区门口，甚至是在一些饭馆里，总有人旁若无人地吞云吐雾，呛人的烟味让人不堪其扰。二手烟中，有大约250种有毒物质，其中至少69种致癌。据世界卫生组织...
1636262483# #致敬这些捐款百万到上亿的科学家！
1638837610# #分享图片
1622887172# #药食两用话芡实
1628652337# #分享视频
1640047087# #分享图片
1662161787# #分享图片
1670287045# #亲们早上好！。今天是2022年12月6日星期二，阴历冬月十三。。武汉市今天多云，北风一级，气温2℃~10℃，空气污染49（优），空气湿度92%。明天阴天，气温4℃~10℃。。“人生要有不较劲的智慧。”不较劲的实质，是尊重，尊重他人对事物的看法，理解世间种种的迥异，以及复杂多
1627552672# #【足球慢镜头】奥运会进入第六个比赛日的争夺，在7月29日，中国队发挥出色，拿下了2枚金牌，再加上陈梦和孙变天！奥运金牌榜：中国队15金，逆袭到第1，美国力压日本队
1636850582# #分享图片
1550287688# #新浪邮箱问候语迷茫的旅途，更需要自己的坚强。午安~
1634863536# #转发微博
1679185763# #分享图片
1616720214# #分享图片
1646541311# #武汉市各区核酸检测证明卡，花样百出鲜花鲜花鲜花
1639874509# #早安吉祥太阳玫瑰咖啡合十。有些事是出乎意料的，有些事是情理之中的，有些事是难以控制的，有些事是不尽人意的，有些事是不和逻辑的，有些事是恍然大悟的，但无论发生什么事，都别忘了自己的本心，自己的良心，自己的性格还有自己的原则。。玫瑰玫瑰玫瑰强强强
1690194188# #《基辛格预测，如果美国倒下，世界平衡将被打破，至少会有四个国家发起战争。第一个国家是俄罗斯，他们有强烈的扩张野心，而失去了美国这一盟友，他们将恢复苏联版图。第二个国家是日本，虽然美国一手扶持了日本的复苏，但日本在美国的控制下，只能听令行事。一旦美国倒下，日本将变得疯狂，走上》
1611413659# #【潇湘晨报】本报长沙讯1月23日，一则寻人启事在网上被快速转发。22岁的湖南汨罗女生于1月22日凌晨1周鑫宇快回家,你父母在找你汨罗22岁女生凌晨乘网约车至长沙,家人急寻
1623974113# #分享图片
1622591312# #分享图片
1692600375# #《莫言说：终有一天你会咽下所有的委屈，笑着面对讨厌的人和事》终有一天你会和自己和解，咽下所有的委屈，磨平一身棱角，笑着面对讨厌的人和事，变成一个不动声色的人。
1618107656# #【观察者网】“从政府的角度来看，我们需要收到（中方）邀请后，才能派出代表团”。当澳大利亚的商界领袖们正澳大利亚贸易部长:中国邀请我们,才能派团去
1550288624# #转发微博鲜花
1597120836# #夏天为什么要吃姜？原来它有这么多好处（分享自
1687827385# #分享图片
1701824867# #分享图片
1605270836# #凤凰新闻【特朗普团队向铁粉“众筹”诉讼款，被爆资金将大比例归为己有】据路透社12日报道，在美国总统特朗普还在指控上周的选举结果存在舞弊时，他的竞选团队已经向支持者发起“轰炸”，要求他们提供资金，帮助特朗普筹集诉讼费用。然而，路透...
1550206881# #转发微博
1655769163# #终于看到一个理念靠谱的，转一下憨笑。。颠覆传统概念：国内首批赴美留学免疫学专家，深圳儿童医院创院院长冯雷教授寄语：请大家在做大健康时，一定要注意大健康事业中的辩证法。随著人类寿命增长，科学界对"高寿"研究渐多，其建议有别于传统概念。重点如下： 。1⃣ 老人肠胃消化分解机能减退，加上牙齿
1627047327# #分享图片
1637628331# #早安吉祥太阳玫瑰咖啡合十。任何场合，任何地方都要把背挺直，因为我们不曾输给任何人。去经历，去做你想做的，去选你爱的，而不是别人眼里正确的，你的一辈子应该为自己而活。很多时候，人生就是在绝望和希望间徘徊，每一个活着的我们，都会给自己一个目标，我们沿路走去，总会有阳光
1668211974# #亲们早上好！。今天是2022年11月12日星期六，阴历十月十九。。武汉市今天阴天，霾，东北风，气温15℃~21℃，空气污染105（轻度污染），空气湿度92%。明天小雨，气温9℃~15℃。。没规划的人生叫拼图，有规划的人生叫蓝图；没目标的人生叫流浪，有目标的人生叫航行。蜜蜂忙碌一
1689497990# #观渡江节。当年领袖戏长江，。今日群雄浪里狂。。旗猎语豪涛韵乐，。风和霞灿楚天祥。。岸滩滤镜高高举，。水上风情浩浩扬。。还我三年封锁泪，。今朝武汉更坚強。。楚风.23.7.16
1684889816# #分享图片
1587784461# #分享图片
1681350751# #《高出82%！美科学家揭示，这种血型得老年痴呆风险更大》血型，是我们从出生就注定的东西。不过，最近有研究表明，血型确实与一些神经衰退性疾病的患病率有关。而以上表现，也是阿尔兹海默症等脑衰老疾病的症状。
1659310949# #亲们早上好！。今天是2022年8月1日星期一，阴历七月初四（建军节）。。武汉市今天晴天，东风一级，气温25℃~36℃，空气污染44（优），空气湿度98%。明日晴天，气温26℃~37℃。。每个人有每个人的思想与生活，不要试图改变别人的生活，懂得接受别人不同的观点看法，尊重别人的选择。
1558756474# #新浪邮箱问候语命运如同手中的掌纹，无论多曲折，终掌握在自己手中。午安~
1620301326# #凤凰新闻【究竟美国是纸老虎还是中国是纸龙？要看较量在何地发生】终于有美国主流媒体（大西洋月刊）发文将中国称为“纸龙”了。文章作者在嘲笑中国只会“山寨”的时候，竟然好意思...
1690538162# #《100岁高龄的基辛格再谈中美关系，下飞机后的一句话意味深长》即使在世界政治的大舞台上，有些角色依然能够在岁月的长河中熠熠生辉。今天，我们的故事主角就是这样一位人物，他，就是年逾百岁的基辛格。
1617928536# #去年·今日,看见大武汉去年·今日,看见大武汉
1584457252# #所有援鄂人员授予一枚，向他们致敬赞赞赞
1594459651# #谨慎吃“参”！人参红参西洋参区别很大--科普中国--人民网（分享自
1602384810# #分享图片
1688170547# #分享图片
1672724410# #转发一位朋友发给我的微信：。黄老师：我在美国住了8个月，11月回来的。在美国打了三针疫苗，目前还没中招。美国最早是给老年人种疫苗，每天早上老年人先购物，10点以后才让中青年进超市。中青年打完疫苗后又给儿童打的。疫情期间，给每位低收入者每月发放2000多美金，可以在社区免费领食物。失业的领取
1617878909# #凤凰新闻【哈里斯不慎说漏了美国不断对外发动战争的真相】近日，美国副总统卡玛拉&middot;哈里斯在参加拜登政府就业和基建政策的活动时，不慎说漏了美国在过去数十年里不断对外发动战争的真相。然而，这一信息却并没有得到...
1552214709# #赞鲜花
1594029660# #我分享了的文章
1593042908# #《你知道端午节的真正由来吗？》你知道端午节的真正由来吗？说到端午节，人们首先想到的就是吃粽子、赛龙舟和诗人屈原，因为我们早已把这天当做是纪念屈原投江的节日。但大家知道嘛这并非是端午节真正的由来。实际上端午节本应是祭祀大火星的日子…
1632402586# #分享图片
1700372271# #分享图片
1641604401# #早安吉祥太阳玫瑰咖啡合十。花开花落，是规律，缘来缘去，是安排，无缘之人，别留恋。有缘之人，多陪伴，属于你的，要珍惜，不是你的，莫纠缠。一切，都是天意，能相遇，就是万幸，离开也好，陪伴也罢，过程才是最重要的。不管结局如何，都要带着一颗感恩的心，感恩遇见，不负不
1603066731# #分享图片
1634564474# #一个父亲写给儿子的信，无论你的孩子有多大，都要转发给他
1657844281# #分享图片
1675851246# #转发微博
1576886443# #早安吉祥微笑
1664847687# #亲们早上好！。今天是2022年10月4日星期二，阴历九月初九（重阳节）。。武汉市今天阴天有小雨，北风二级，气温15℃~30℃，空气污染58（良），空气湿度67%。明天有小到中雨，气温12℃~15℃。。‍‍别把人生想的太难，别让生活过得太惆怅，日子过的是心情，生活活的是心态。无
1637801263# #早安吉祥太阳玫瑰咖啡合十。善待自尊、自强的弱者，就是善待自已！心怀感恩的心，不怕年少经受多少苦难和挫折，遇到多少坎坷，实干、用心、不吹牛，总会熬出个云开月来花满园的美好境地来。但凡行善向善，助人为乐的人，最后一定能得到上苍的眷顾和保护；这正如古语所说“莫道因果无
1680398962# #分享图片
1603705955# #我分享了的文章
1575851129# #新浪邮箱问候语冬天好！
1688690346# #小暑安康鲜花咖啡
1601564026# #【环球时报评论】从今天开始，中国人将迎来自新冠肺炎疫情在中国得到控制以来的首个国庆黄金假期。从各地纷纷上报CNN的这篇报道，让反华分子心态崩了
1536312803# #担忧！农村少年手机病调查：不吃不喝威胁父母充值，当托养瘾谋生
1604155634# #凤凰新闻【15年后，中国什么样？】中国共产党第十九届中央委员会第五次全体会议，于2020年10月26日至29日在北京举行。全会听取和讨论了习近平受中央政治局委托作的工作报告，审议通过了《中共中央...
1677461719# #【华为浏览器】甲流进入高发期，症状与新冠有哪些区别？
1681300165# #【华为浏览器】台媒体人喊话台湾民众：还要支持民进党吗，你不累吗？我很累啊
1688222189# #搜狐新闻:【耳垂有这道折，是心梗征兆？对镜自查慌了，医生说……-搜狐新闻】
1596583436# #分享图片
1643267653# #请各单位迅速对2022年1月14日（含）以来杭州市滨江区长河街道旅居史来鄂返鄂人员开展追踪排查工作。如排查出相关人员，请第一时间与社区联系（主校区联系华科大社区87542343，同济校区联系同济社区83694992）。。请各单位统计有关排查情况，于今日（1月27日）17:00时前更新并填写信息统计表，反馈到xbms
1572566221# #新浪邮箱问候语早安！看着初生的太阳，希望你的一天也如刚升起的红日一般！
1670719643# #分享图片
1673789134# #南京不给日本车上牌照，不给日本车加油，加油站灯箱打出来‘本站不为日本车服务’！在核实这一消息后记者还前往南京210国道，告示牌异常醒目，走近一看，才发现其全文为^为了2000万遇难同胞，本站不为日本车服务^！记者拜访加油站工作人员，工作人员毫不掩饰他们的观点，一中年工作人员说:‘既然立了
1599435222# #分享图片
1688895364# #《3个80后女孩的“禁欲式”生活：不买房不租房，每月300元睡酒店》在很多人的印象里，住酒店似乎是一件非常奢侈的事情。每个月只花300块就能住上酒店，网友惊呼，这也太爽了。这三个女孩来自不同的城市，做着不同的工作。
1660091137# #分享图片
1651797487# #分享图片
1600047340# #分享图片
1634516825# #分享图片
1622093065# #昨天女儿拍的红月亮，分享給大家看看
1615022760# #凤凰新闻【全国人大代表李小莉：建议春节假期延长到10天】“现行春节七天的假期短了，延长春节假期非常有必要。”全国人大代表、合肥丰华汽车零部件有限公司工会主席李小莉建议，...
1629850526# #分享图片
1678440296# #《我想做小偷》。。課堂上老師問孩子們：。「長大後想做什麼？」。。一個普通的問題激起孩子們的無限遐想，。。他們興奮無比，。爭先恐後的說：。科學家、醫生、老師、老闆等....。。老師面帶笑容聽著孩子們幼稚卻飽含雄心的理想，。愛憐的看著他們因激動而漲紅的小臉蛋。。。這時，。一隻又黑又瘦的小手怯生生的舉起
1681000925# #分享图片
1694610040# #喀什古城夜晚，人们。在这里排队買馕。说这里是爷爷的爷爷卖馕的地方。新疆喀什古城的馕好吃。鲜花赞
1550463332# #向赤脚蹚冰水送食的管理人员致敬鲜花
1596796239# #药食两用话芡实
1623404529# #转发微博
1681778743# #日出，迎阳光；日落，迎梦想；清晨，迎希望；每天，迎安康！善待人生每一天，珍惜今生一份缘！。玫瑰咖啡合十
1608729573# #凤凰新闻【变异新冠病毒或已在美出现，这两地州长“坐不住了”】在英国出现传播性更高的变异新冠病毒后，全球超40个国家和地区在不同程度上切断了与英国的航线。不过，截至目前，美国仍未限制来自英国的航班。当地时间12月22日，美...
1670288058# #分享图片
1592125283# #凤凰新闻【美国第一女预言家死前说中国将会……竟这么准】世上真有预言家，能料事如神，你信吗？在美国，有位女性预言家，她一生预料到很多事情，但没想到，在她临死前，却是这样预言中国！她是珍妮&middot;狄克逊，美国现...
