1559516941# #跑跑更健康！作揖
1554682518# #转发微博
1538909792# #阿林哥话公益微博头条，一个纯民间的公益组织，从创立至今，已有了整整七年的时间，义工会员从开始的120人发展到今天的13000多人，大家在不影响工作、不影响家庭生活、不影响个人身体健康的“三不”原则下，怀着我愿意、我付出、我成长、我快乐的“海宁义工精神”不断从事尊老爱幼、扶
1641254540# #哥，这二块你确认是顺爿哇？
1572818965# #转发微博
1588345531# #来自天目新闻客户端
1545523537# #转发微博
1652097432# #母亲节情感语录5月8日是“母亲节”，孙子的妈妈和儿子的妈妈一起过“妈妈节”啦😄爷们祝俩位妈妈：母亲节快乐！哈哈鲜花身体健康！永远年轻漂亮！萌虎贴贴萌虎贴贴萌虎贴贴
1559403375# #转发微博
1561008493# #转发微博
1578870292# #世界大团结万岁！赞
1561008456# #转发微博
1641621996# #种草打卡微博视频号打卡计划
1536307404# #转发微博
1547621847# #转发微博
1673912471# #2023年1月16日下午，联合南关厢志愿商铺联盟、关厢文工团、共同举办“2023南关厢迎春年俗文化活动”！吸引不少市民朋友热闹了一翻！哈哈哈哈哈哈
1683121966# #哎😭
1589813522# #常规活动“弯腰一秒，拾起文明”永远在继续！赞赞赞
1535508759# #感恩大家的支持和厚爱！心抱抱
1619055472# #海宁义工在摸索中成长！
1558750156# #阿林视界阿林晨语静静地坐在自家公司门前的洛塘河畔，望着平静的河面，微风泛起涟漪，两岸的绿荫随风飘逸……突然发现，环保，是多么的重要啊！当年林毅书记的亲抓，自有他深远的意义和战略眼光！赞赞赞微博贴纸每日心情记录天气即天意草莓兔
1550398138# #孩子，赶快回家吧！爸妈在等你呢！作揖心鲜花
1558766816# #花香自有蝶飞来！心赞耶
1619996678# #感恩！心抱抱
1569363261# #转发微博
1571408956# #快来围观，流动爱是有方法的@宝贝回家-中原
1673913209# #支持赞赞赞@海宁发布
1537753960# #阿林哥话公益阿林视界阿林晨语点亮志愿者超话贫困时，家是相互扶携的漫漫旅程；富裕时，家是真诚相待的责任；喧闹时，家是一汪平静的清泉；孤寂时，家是黑夜里的北斗；欢聚时，家是精神的阳光浴场；别离时，家是靠近心灵的驿站，是心头永远萦绕的那份牵挂。。中秋节，感谢这一路上有
1551753280# #嘉兴身边事，在西山社区三楼会议室召开电影《大爱之新家园》座谈会，剧本主创、著名电影编剧倪震先生来参加座谈采集素材
1588345320# #来自天目新闻客户端
1561472585# #好样的。赞赞赞为了美丽海宁多添一份安全，海宁义工冒雨坚持文明劝导公益活动！心心心赞赞赞
1541668069# #阿林视界阿林哥话公益人，如果没有了健康，那一切都等于零。你认同吗？
1570458873# #公益春天超话阮哥依然那么帅哈哈哈哈
1641457529# #种草打卡微博视频号打卡计划
1537143129# #阿林哥话公益为公益转发耶耶耶本次公益论坛为党建引领，参与基层治理。也为我们注入了活力，不断践行“吃饭也是做公益”的理念！赞赞赞围观围观围观
1563514310# #转发微博
1554042381# #心鲜花合力于爱，爱生爱、美生美记者余超微博禁毒第一人马霄@莪叫蓝姐
1541806327# #非常认同！ok
1554682494# #普法“365”！社法大理淄博律师种
1547945055# #转发微博
1547945074# #转发微博
1580349293# #加油
1539393373# #转发微博
1539484684# #
1554682541# #转发微博
1546498715# #阿林哥话公益新时代文明实践在海宁，《我的志愿故事》宣讲大赛在市老年大学报告厅举行。个个故事演译人生，颗颗爱心传递关爱心威武围观鲜花西片区机动组义工吴伟英代表海宁义工在《我的志愿故事》的舞台上演讲着自己的志愿故事。朴实，真诚，友爱，向上威武心围观耶
1694162055# #植物干细胞健康养生阿林视角。【中医视角】。立秋以后哪个脏腑最脆弱？。——肺！。“春养肝、夏养心、秋养肺、冬养肾、。一年四季养脾胃”。所以，错过了冬病夏治的朋友们，。别再错过秋天这个养肺黄金期……
1551486093# #真的不错。赞赞赞
1539148769# #微博头条阿林哥话公益在海宁盐官镇有一个美丽的小村落……新星村。今天，为村里60岁以上的老人们拍起了漂亮的婚纱照哈哈哈哈哈哈圆了老人们的一个婚纱梦。同时，在“九九重阳节”即将来临之际，为老人们举行“金婚庆典”。村多功能厅内搭起了花筒，铺上了红地毯，准备了鲜花，老人们穿起了
1646271420# #看到有一个义工参加了！赞
