1695823764# #他居然不理我了微笑
1702630196# #张着嘴等吃
1700118630# #发现之后痛的要死
1688349495# #最害怕听到的一句话：她是大学生肯定懂，可是我真的不懂医学，也不懂所有的法律😭。我说专业的事情交给专业的人，她们会说，你一个大学生怎么这个都不懂苦涩
1702820641# #元梦之星游戏福利掉落中，我抽到了元梦之星超话签到礼包！快来签到领取！
1701243573# #趁着有钱，买了几本书可爱
1694860415# #多一点这样的包青天
1700658192# #泪吃了胖。不吃忍不住
1687832488# #高一的时候看过物理老师一夜白了大半个头，当时才知道原来小说里的“一夜白头”是真实存在的。。结果最近几天好多人说我头发白了很多，我才知道原来我压力这么大。。。不过好在已经渡过危险期，只要好好修养就可以了
1691230736# #倒闭咯
1687880417# #本人追的男明星:PGone、王俊凯摊手。我以为皮几万是个意外，王俊凯要是也塌房我真的拜拜拜拜拜拜拜拜
1692972104# #一想到要开学，就看谁都不爽泪泪泪
1693983456# #以前考虑过毕业了去杭州找工作现在：拜拜拜拜拜拜
1698857516# #原来中午喝奶茶也会失眠耶
1701238974# #发完奖学金的我：这是什么呀，买来看看
1704250096# #感觉现在大家都很会抓机会。以前哪个地方火了就是安全问题吧啦吧啦。现在淄博、哈尔滨都是只要你来，啥要求都满足hhhhh
1689137684# #有些事跟你讲吧，你又不高兴。不跟你讲吧，我又忍不住
1703657287# #这个破网我是一天也不想上了拜拜
1688274968# #我们方言哭和渴都念：阔。我：我肚子好疼啊，我要阔(哭😭)了。我妈：你阔(渴)你喝水，喝冰水鼓掌鼓掌。。亲妈跪了跪了跪了
1689128645# #五河真小啊苦涩
1697432676# #自带美颜的原相机爱你
1689594414# #人好奇怪，她在外面打工，我在外面上学。她今天回家问我家里哪里好玩。我怎么会知道呢
1694262153# #微你个大头鬼
1704037153# #嘻嘻嘻嘻嘻嘻
1692439933# #我其实最期待的是花柏林
1691920700# #刘蝶进化史之陪妈妈姨姨买衣服篇：。小姨：这个好看吗。刘蝶：一般，换一件汗。。大姨：我穿这件怎么样？。刘蝶：难看，奇奇怪怪的汗。。我妈：这个衣服适合我吗？。刘蝶：不适合汗
1702535283# #我和33的尸体有点累笑cry
1702870333# #点谁呢哈哈
1700447837# #为什么，我明明生活规律缺总是紊乱！！！！啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊，这半年就没有一个月正常的！
1702694077# #我说我要去跑步。鲍哥：那是不是要给你买两套冬天跑步装，头戴耳机。我：是🥹。鲍哥：反正你不管干什么，干不干，装备买了再说笑cry笑cry笑cry。我：🙈🙈🙈
1698203335# #除夕不放假我建议…春节假期取消。理由是，现在没有什么年味，可以取消。既然春节取消，其他节日也没必要存在了，都取消了叭爱你
1700460874# #甚至还有这个！为什么我没有印象了。为什么我一点都不记得我这么努力的时候
1701135551# #刚到的600低保，吃了一顿204的海底捞怎么就剩下228了！
1697599774# #糟糕，有外星人
1689296958# #熟人恐惧症之。我要把口罩焊在脸上✌🏻
1692439674# #下辈子换我长这样
1703582813# #家人们谁懂。在家实在没东西吃。翻来翻去最后吃了两个奶酪棒😅
1701491178# #某人天天说我玩小游戏，不知道有什么好玩的。今天玩我的小游戏玩了一个多小时了不愿意起床去吃饭笑cry
1697206175# #医院给出的正常体重范围进来找安慰，结果尴尬了，比正常体重还重
1695947476# #证据
1690709325# #我的脑子不会转了可爱
1691294165# #断头饭他们对视时候笑的好甜啊啊啊啊啊啊啊啊我死了
1700119174# #吃独食
1696655295# #怎么会有人今天也请假不肯去上班哇
1700370360# #奶油怎么会这么厚啊
1691568476# #葡萄月饼？好看的紫色葡萄果酱的夹心？买两个回家！！。好家伙，原来是加了葡萄干的五仁月饼🥮
