1690978514# #讲个笑话，杨幂只有三生三世爆
1698199324# #内娱无法被替代的顶流。杨幂，电视剧、电影、综艺、杂志、代言、国民度、穿搭、语录，各方面的顶流，全方位的top当然无法被替代！。杨幂
1693900997# #平均两部剧爆一部的演员。谁有空来给你计算是不是平均两部剧爆一部啊...。我印象中爆剧最多的应该就是杨幂了，像她主演的仙剑三、宫锁心玉、古剑奇谭、三生三世十里桃花、翻译官、扶摇，还有演配角依然出色的美人心计、北京爱情故事，从收视热度网播来看，都挺爆的！。杨幂
1691324250# #LNG战胜EDG。恭喜LNG，双C还是强，scout和gala赞
1703645394# #杨幂全方位出圈的宝藏偶像就是你！
1699359514# #杨幂。明天10点晶核新代言官宣:30雅诗兰黛直播。大后天9:12斐乐新代言官宣
1704208625# #打工人得学会自己想通
1690344521# #杨幂超话夏日环游指南超话星愿池。许愿杨幂今天发微博努力。上次发微博我还没解封苦涩
1692633778# #珍惜羽毛的明星。杨幂，以前受嘉行拖累，也能把有限的资源发挥出很好的水平，创造了如三生、翻译官、扶摇之类的多部爆剧。。如今离嘉之后更是下定决心接自己喜欢的剧本，在拍剧哈尔滨一九四四、电影没有一顿火锅解决不了的事都非常有看点，很难不期待杨幂的后续！。杨幂超话杨幂
1695957394# #央视中秋晚会节目单。期待杨幂演唱的《若把你》，独特的小甜嗓唱歌真好听爱慕。杨幂
1700744205# #杨幂GQ年度人物预热。没上过顶级男刊的/男刊没满贯的下家粉也敢来幂神这里指指点点？够格吗？。杨幂
1703728359# #杨幂黑粉黄某被强制执行15170元。如今的杨幂工作室可真是告黑不停，绝不手软！
1696687809# #杨幂中秋库存。节后第一天就能看到温柔大气的幂幂姐，心情都变好，大家早点休息吧爱慕。杨幂
1702137896# #杨幂sayagain，稳住心态，宣传火锅。
1696831203# #杨幂超话话筒杨幂。“车如果没有刹车，遇到危险的路段，就会出事。人如果没有控制能力，当自己的烦恼极度爆发时，就很容易做出不理智的事来。”
1690547814# #覃海洋。这哥们真的牛！第四金！打破世界纪录！蛙王名不虚传！
1696945462# #待播古偶神仙打架。狐妖小红娘月红篇快点抬上来！杨幂的古装仙侠剧期待值直接拉满了！听说寒假待播？。杨幂涂山红红
1698979453# #ELLE风尚大典开始官宣了。我说elle你别太爱！rs封面都是我幂彩虹屁
1690771649# #我不信这条点不到百万，就差一点啊家人们泪
1692201550# #感叹下杨幂结婚时巨美。感叹下杨幂粉丝🈳🍎时巨牛！。杨幂超话杨幂
1701944475# #杨幂好美！
1693040115# #杨幂超话超话星愿池夏日青春派对。线上的我很能说吧，线下的我其实社恐的要s，只会喊杨幂，杨幂，杨幂...拜拜。杨幂
1701745115# #风晴雪涂山红红灵蝶。2014年的大爆剧《古剑奇谭》和2024年即将播出的《狐妖小红娘月红篇》联动，谁的DNA动了！十年前十年后，变的是时间，不变的是杨幂作品角色的🔥爆！。你可以永远相信杨幂的古装！也期待2024年1月13日即将上映的电影没有一顿火锅解决不了的事！。杨幂
1701102811# #尖叫之夜微博战报。战报上好显眼的杨幂！。4个爆点话题，3个由杨幂引爆！。不得不佩服幂姐都长红十几年了，话题度还一直这么高！作品入坑的我已经迫不及待想去电影院看她的最新电影《没有一顿火锅解决不了的事》了！1月13日能不能快点来！。杨幂
