1693969890# #狒狒的勇敢和团结一心👍战胜一切外敌
1692708093# #8月15日，日本，日本无条件投降78周年当地举办纪念靖国神社活动。中国女子愤怒：魔鬼不该被“供奉”！
1693223874# #8月25日（发布）四川成都（发布）男子穿“日本投降”衣服在日系车展台购车协商过程中被路人指“极端民族主义”来源：名车工匠
1690726650# #揭秘随身wifi行业内幕，你中招了吗？
1692428176# #上海六院男子窗口被嘲讽后续：女子身份被扒，知情人透露更多内幕
1691112254# #来看看上海电视台的领导都是哪里人
1693881500# #“纯种的中国人”郑楒婷凭借阿根廷的国籍，被北京大学低分录取。
1693727659# #我分享了【山西一医院被曝“花600万购置西装工服”，员工：用于出席活动】,快来看吧！|
1698552556# #3位教授的奇葩提议，不但没被采纳，反而引起国人一片骂声！-今日头条
1702114416# #在美中国留学生用注射器向邻居家投毒，现场曝光！被驱逐回国
1693970963# #不要害怕贪富差距拉大，只要不造反就行，北大教授的话你同意吗。
1692942147# #凤凰新闻分享凤凰新闻：朝鲜驻华大使发文：无论昨天、今天还是明天，台湾都是中国的台湾来自
1692708947# #上海六院回应窗口人员涉嫌侮辱挂号者：行为不当没为患者负责
1687955183# #高铁踹人老头自爆家门，退休前能让人坐牢，相关部门的回应引众议。
1704171505# #老街全面解放，大批同盟军进住。白所成父子去向成迷，何许己化作难民出逃，何许躲藏在地下水道和喑道？🔥🔥🔥
1697295388# #以色列正式向哈马斯宣战巴以冲突
1694517702# #不作不死的那18位游客，你们回国了不得让国人唾沫淹死你们吗？。
1697097982# #淘宝店铺此家是骗子，发空包，骗钱跑路，现在又出来骗钱了……
1693755624# #蓝衣大佐找到了，原来此人曾为日本前首相安倍哭过丧
1704195014# #在美华人发起的【驱逐孙维】白宫请愿书及----原文与翻译
1703306232# #为何忽悠式营销，骗不了上海人营销广告市场营销上海高建华
1703563505# #微头条朱令铊中毒的凶手
1694575331# #我分享了【1946年真实影像，日本人朝鲜撤退，朝鲜百姓热情送客影像】,快来看吧！|
1699954700# #这是个垃圾，
1700100735# #人民代表大会为什么变成了他们他们又代表了谁。
1697775685# #一个连流浪狗都无法宽容，并且还虐杀的民族何谈具有５０００多年古老文明历史？省省吧，人家都在看着，自己还自以为是。。。
1703563590# #属于朱令的正义早就宣判不会再来，希望有关部门给大众一个交代！
1694591395# #9月13日，就在刚刚！杜特尔特：即使豁出这条命，也要保护菲领土。
1701653265# #中国“老赖”人数三年多增加近50%|联合早报网Weibo
1698786875# #以方组织数百名记者观看，哈马斯暴行视频
1699161407# #绝口不认违法！盘点河南多地哄抢事件通报：轻描淡写百般掩饰
1691814554# #分享单曲(
1693225715# #这个小丑丢中国人的脸
1702254239# #白所成、魏怀仁、刘正祥等10名缅北电诈头目被公开通缉！照片公布
1692934165# #一艘企图强闯黑海的日本商船被俄军击沉！
1693889744# #大家不要紧盯着日本核污水排海了，小心背后有更大的阴谋。
1694320146# #柑橘是什么味道：照片展现了两名女警察骑着警用电动车在道路上巡逻的情景，可见她们正在履行警务职责。。然而，令人注意的是，她们均未佩戴头盔。这样...
1694351627# #杜特尔特罕见强硬表态，即使豁出这条命，也要保护菲律宾领土-今日头条
1700057918# #幸卫林缅东妙瓦底逃亡生死经历电信诈骗缅甸北部孤注一掷。
1692930665# #上海各大超市上演抢盐热潮
1693969905# #我分享了【针对食盐抢购，中盐集团发声！除了“囤盐”，这种商品也被疯抢……】,快来看吧！|
1696730211# #【两村干不雅视频曝光：杨先生说他们平时是人上之人，这回运气不佳】。
1703458733# #清华投毒案朱令去世！唯一嫌疑人孙维现状被曝光！家世背景真强大
1687955333# #愤怒！俩男子把流浪狗吊在树上用弹弓打着玩，狗狗发出阵阵惨叫。
1687505100# #合集·视频合集-今日头条
1693969913# #菲海警船日前在向南海船只提供补给时遭中方船只堵截？中方回应
1693983008# #凤凰新闻【华为最新款手机可打卫星电话？调查：接打10元每分钟消费者吐槽有点贵】“去了电信营业厅，说现在卫星套餐办不了，只有电信App里能办1000块一年的套餐，是快递到家的”“刚才又打了10000号...“爱国主义”情怀下华为手机的购买……
1702694137# #猖狂投毒、乱杀猫狗，惊恐的毛孩子惨叫着迎来至暗时刻宠物流浪狗狗咬人事件狗狗
1698469038# #bilibili小锋真喵啊的视频人心的恶的大爆发
1693484272# #我分享了【美国宇航员去世后，他家人爆出登月秘密】,快来看吧！|
1693227357# #香港惊现排队吃日本进口海鲜现象？给日本驻日大使挑衅国人口实！。
1687582626# #俄罗斯内战爆发！3万瓦格纳大军杀入俄南部军区总部罗斯托夫！
1696740585# #《上海4岁女童失踪数日母亲社交账号晒娃后疑删号，网友列举事件中父母行为存在异常》阅读量：56.8万。点赞量：1569
1698037696# #某教师质问：为何教体局一帮不上课的人晋升了高级职称？
1701854362# #掸邦果敢同盟军：据金凤凰中文报记者报道：战难突发，家园顿毁，各族同胞被伤痍；情系难民，爱心顷呈，云南同乡扬善德。12月4日上午，腊戌云南同乡...
1701392725# #按果敢王彭家声给果敢民族的定位，回到祖国怀抱是应该的。
1694387440# #是谁把工人、下岗工人推向了最底层？。
1692933316# #日本核污水入海，他们连上岸的机会都没有我们的海洋听海哭的声音海洋生物
1698468343# #豫见发布了一条视频。
1701774610# #阿根廷开始动手了:阿根廷决定对中国、印度、印度尼西亚及秘鲁的拉链及其零件征收临时反倾销税
1703663333# #仅仅代表我个人观点，我是挺烦烟花爆竹的扰民，也污染环境……
1699496099# #某些国人的贪欲
1697855828# #曝光！上海76岁老干部住ICU四年,花费近千万,刺痛了众多网民的心。
1692952345# #就洪灾向我国表达慰问的国家一览，目前只有一个表示愿提供帮助
1693727918# #日本辐射产品只出口中国。坚决抵制日货。留给日本人自己。
1690625701# #大量甜瓜泡在“洗衣色”的水中，你还敢吃吗？甜瓜
1692943727# #“北极鲶鱼”事件核查5个月没结果？深圳相关部门最新回应
1692975803# #日本核污染排海引发舆论哗然：中国旅游团成为笑柄
1692716372# #国外如何处理好动的熊孩子的……
1692932851# #菲破船迎来食物后大笑中方海警放行菲补给，真能换回感恩戴德
1695736713# #菲律宾海警非法拆毁了我海警布设在黄岩岛的阻拦网。-今日头条
1693641844# #好大的架子！大陆计划高规格接待访客，蒋万安却不准备见宋涛-今日头条
1699432145# #入境古巴被海关扣留9小时，求助中国大使馆，到底发生了什么？。
1703836975# #孙铊将无处可遁感谢澳洲华人为朱令案做出的努力。
1687670727# #"必须给老人让座！"飞机惊现老太占座，遭拒后却被升舱引争议！。
1692457216# #上海六院骂人职工后续！侮辱患者、骂人不带脏字，处理结果惹争议
1698923411# #男子阳台虐杀流浪狗吃肉，居民上门要狗反被拒：关你什么事
1698914562# #村民贷款种植药材遭百余人哄抢，种植户坐地哭喊。警方回应，后续如再有类似情况，会及时出警。
1698759148# #微头条
1703458537# #火火的王爷：今日朱令追悼会，看到有文章写到:“有那么一会，朱令爸爸低下头用额头贴了贴朱令的的额头，他们的额头贴在一起，朱令爸爸脸上泛起了笑容...
1694786938# #媒体采访核污水排海之后赴日游客，称来吃来享受，食物干净又卫生。
1693968078# #71岁的高龄，上海范书记住高干病房花了1千多万，家人仍不放弃！-今日头条
1699310739# #分享视频
1700184457# #谁给诈骗家族办理了中国身份证？。
1692932671# #两女子在火车上产生矛盾，小孩也参与其中。。。
1692448802# #我分享了【李光耀：如果一个国家连公务员的财产都不能公开，反腐就是作秀】,快来看吧！|
1692715597# #美国要求台军方建实验室研发生物武器，台“生物实验室”分布图曝光，多数在靠近大陆一侧，各种病毒存放在人口最密集的区域
1692333080# #上海第六人民医院，病人没听清医生言语，再问时被医生阴阳怪气辱骂啦！-今日头条
1690371026# #就是因为取不了,才能保证安全搞笑动画看一遍笑一遍沙雕
1694320255# #媒体人张晓磊：泰国曼谷机场，大家都在有序地排队。可是没想到，一位中国大妈嫌队伍太长，直接插到靠前的一位小伙子前面，工作人员出面制止大妈这样的...
1691821527# #宇嘉博:上热门话题90000亿流量第一名内容过于真实
1692704546# #男子到银行改密码，却被告知需要房产证，银行：没房子就不给改
1694147173# #大家发现没有，前几天轰轰烈烈的医疗反腐，突然沉寂了？什么原因
1692975889# #我国代表孤立无援，在国际会议上独自和日本争辩，别国无一声援
1693986259# #23年辽宁男子主动捐烈士登记表被拒，工作人员：这破烂玩意多的是。
1704195079# #吴丹红：朱令案正义缺席，向最高检申请再审-今日头条
1687505506# #小姐姐自带酒水进KTV遭劝阻，网友：用温柔语气说出了硬气的话
1691120502# #属实！德国姑娘海雯娜投诉啤酒节德国啤酒不纯正，羊肉串掺假。青岛市市场监督管理局：退一赔三
1698468221# #缅怀总理，一路走好！。“纯真而不欠闻达，善良而不失坚强，把生命高举在尘俗之上，又溶化于社会之中，这应当是我们这一代的共同追求。”🙏🙏🙏。
1700121224# #《河南一高校保洁将狗从三楼扔下摔死，引发网友热议，校方：已开除》近日，一起令人痛心的事件在河南新乡的某高校引发了广泛关注。据报道，一名保洁员在该高校的教学楼三楼，将一只狗扔下楼，导致狗当场死亡。是河南省新新乡市新乡学院
1693880662# #国内专家对日本排放核污水全部“禁声”，无一人敢发声！。
1687090765# #丫丫回国后现状，生活悠闲自得，感觉人生到达了巅峰
1698715310# #过云山居发布了一条视频。
1704168878# #朱令案当年已经“捅到头”对她正义不会到来了
1703567200# #谈谈孙维的家族，孙越崎，孙，孚凌朱令朱令去世。
1699943142# #缅北1020事件始末。
1692930340# #大家发现没，曾经风靡全国的“垃圾分类”运动，现在已经摆烂了
1695534368# #【养狗人一定要替狗狗存一下！（关节炎）】狗狗出现腿疼、四肢无力等现象大概率是关节炎犯了！存下这篇，护狗狗周全！狗狗关节炎狗狗腿疼狗狗生病狗狗关节问题狗狗四肢无力（分享自
1693029712# #【拉“支持排海”的国际原子能机构等背书，岸田政府想“孤立中国”】。
1693756307# #著名军事评论员刘晓非在对日核染水排放上的逻辑错误
1687666161# #城管踢到铁板了也只能灰溜溜走人城管之星路人拍城管执法被抢手机
1692344936# #【落马书记院长多为60后70后，男性占大多数，有人享国务院津贴】。西瓜视频)。
1687669749# #《生病母女想活下去，问亲朋好友借钱但都未成功，令她们很寒心》播放量：61万。点赞量：1.6万
1692953946# #日料店老板，终于承认了...都不是好人
1693129695# #成都车展“蓝衣大佐”叫王铜根，一名汽车博主！现场视频完整版！
1692933091# #又在抢盐，中国这么强大不可能没有盐的，相信国家，相信党，不要恐慌！囤货
1699319974# #一段视频，暴露出哈马斯对中国的态度，为我们敲响了警钟
1697294535# #唉，买了烂尾楼的老百姓真是太可怜了呀！一定要千方百计保交楼呀
1703112008# #甘肃地震,为什么国际社会不伸出援手？。
1693380697# #1988年南沙海战全过程真实影像此前越军叫嚣辱骂我军！报应来了
1696766152# #震惊了！法院被外包了张泽群实名举报
1691987210# #一手医院收费的歌曲传遍了网络，唱出了老百姓的心声。
1693744479# #丢人现眼，去了就别回来了日本核污染水福岛核污水日本旅游。
1687504838# #我在淄博站等你免费领水-今日头条连“谢谢”都没有一个人说，看中国人的素质
1703654427# #顶起来，澳大利亚议员向国会提议彻查和遣返孙维朱令孙维。
1692709062# #迈开步动出彩走银行的路让银行无路可走😂😂😂😂财经银行那些事干货分享——北岛
1694145002# #我分享了【研究马列主义优秀共产党员，退休后在美国去世，引发了网友质疑！】,快来看吧！|
1704168856# #帮孙维的人都被提拔，帮朱令的人都被打压
1700121746# #@世界动物保护协会
1694588386# #潜伏在国家高层间谍陆建华间谍人性社会百态。中科院的
1692332918# #小强热线:8月16日，天津（发布）。一男子在高铁上抽烟，后被带走。拍摄者称：此过程中男子辱骂咬列车长。高铁天津dou知道
1698534176# #《深夜的安徽省合肥市红星路80号，市民自发来到这里献花寄托哀思红星路80号送别》深夜的安徽省合肥市红星路80号，市民自发来到这里献花寄托哀思红星路80号送别
1704171426# #黑客攻破孙维邮箱发现大量投毒和串供证据
1698099682# #我刚刚在“10月会员抽抽乐”活动中抽中了【3天微博会员】！官方福利，100%中奖，快来试手气！！&gt;&gt;
1700200395# #同盟军发言人李家文Vlog现场讲述滚弄大捷果敢同盟军果敢。
1693746981# #有人在日本发现一饭店存在歧视中国人的行为，打电话报警了！网友：喜欢你强势的态度，中国已经不是100年前的中国了，中国人民站起来了！福岛...
1687670213# #小男孩数次摔打后甩飞小猫祖国的未来，民族的希望……呵呵
1691977661# #乐观的海洋qFe:男子与环卫工人发生争执，男子用鞋子抽打
1701523589# #二三里资讯:记者以普通人身份求助协调异地献血，上海卫健委：需在当地申请上海dou知道献血公务员献血
1693974441# #扭矩MAX:成都车展“蓝衣大佐”身份被扒反日
1697349459# #印有正能量:说谎！中以混血女孩不在北京出生！其母：“你们中国人有义务”声量计划大v说
1692103276# #中国12万退休干部海外养老，还继续拿养老金，国家安全面临挑战。
1693349759# #我分享了【印度登月成功了吗？来看一下直播最后20米下降时的视频就知道了】,快来看吧！|
1691111971# #2020年，山东道士花20万为500多抗疫牺牲人员立牌位，遭除名。
1697287075# #当地居民离开前和以色列士兵紧紧拥抱-今日头条
1694588442# #东盟峰会：我国再表反对，东盟多国选择站队日本！。
1692708390# #玉渊谭天起底间谍的隐秘手段：打着“免费装海水监测设备”的幌子，找上大连一养殖户，以获取海流数据，为外国潜艇潜入我领海导航
1699108273# #实拍：以色列议会观看以军遭袭惨烈画面多名议员当场悲痛落泪！-今日头条
1692943835# #上海人太争气了！晚上九点多日料铺子一直吆喝打折一盒都卖不出去
1694320333# #人生百态🎤🎤:退役军犬听到国歌响起时候的反应，让人泪目，狗狗都这么忠诚，何况人呢狗狗暖心警犬退役警犬
1692710002# #起底中国坏声音的背后势力！
1703401309# #疑案之疑：朱令案的证据、责任与嫌疑人-搜狐新闻
1701669851# #分享视频
1692587374# #【坏人变老了！】（分享自作恶
1692540950# #被打的一方很明显是被迫正当防卫，为什么还总是被认定为互殴呢？
1698990687# #国民党领导人的存款在网络上流传，很难忍受他们在大陆上的无敌。
1692953512# #我分享了【“湖南千万富翁被送精神病院”事件当事人在精神病院自缢身亡】,快来看吧！|政府有关部门不作为
1703563544# #顶起来，孙维知道朱令离世竟然喜笑颜开，丧心病狂朱令孙维
1699682104# #大象新闻客户端:泉州一高校保安在食堂摔打流浪狗，学校：安全考虑，行为欠妥
1700819601# #我分享了【“清华铊中毒案”受害者朱令患脑瘤陷入深度昏迷，29年过去了，她还能等来真相吗？】,快来看吧！|
1692952683# #家长带娃将商品当玩具丢一地，面对指责称不让玩够会哭的。员工：没人敢说最终也没收拾
1693744040# #中国有十二万退休干部海外养老生活！对国家安全吗？这样合理吗？。
1691730505# #医院的护工，变成医院捞钱的工具，老百姓身上的大山加重了？-今日头条
1701815963# #一位九零后的姑娘的声音，伟大的领袖毛主席是我们亿万百姓￼的信
1701298229# #缅甸缅北最新形势摄影画面资料
1692229842# #我分享了【男子多次猥亵强奸17岁亲生女儿，法院：判刑17年，撤销监护人资格】,快来看吧！|我
1701409083# #宠物知识科普狗知识科普狗狗知识我在手机淘宝有了新发现
1700909194# #凶狠的屠夫现场剥皮宰杀，狗子们吓得瑟瑟发抖，现场一片狼藉-头条搜索
1692714801# #白眼狼夫妇屡次污蔑国人，惹众怒。
1703418401# #澎湃新闻:与朱令最后的告别再见朱令人生中最艰难的仗你已经打过爸爸用自己的额头贴了贴她的额头妈妈穿着毛衣和塑料拖鞋，在寒夜里目送女儿...
1693966434# #《中国好声音》导演对李玟“动手”的视频曝光
1704171552# #孙维孙释盐澳洲华人请愿要求驱逐孙维
1694333275# #分享这个视频给你,一定要点开看看
1700447794# #实拍安徽火车站：大批警员押解缅北电诈嫌疑人，排长龙戴头套。
1695250577# #建交不到4个月，洪都拉斯风向变了，要中国投资200亿，却。洪都拉斯有点搞笑
1692933881# #你们家吃的是几几年的盐？我们家03年的。抢盐没必要
1700121157# #新乡学院摔狗事件
1694937877# #后续！23岁女生高铁被打：打人者有“免罪金牌”，拒绝道歉
1693744810# #关于退休，清华大学的专家又有了馊主意，这次真的是犯众怒了！。
1698449639# #环球网发布了一条视频。
1704171475# #百姓就能造成冤假错案，而像孙维这种名门之后，却可以逍遥法外？
1692946263# #日本核污染水排海，我们首批旅游团却抵达日本，引发日本网民群嘲。
1698302327# #成都一小区内流浪狗被吊着殴打，社区：会和物业沟通注意方式方法还是社会主义吗？国家行为？
1702389574# #小岛大世界:中国小伙在日本东京看到一餐厅不允许中国人进入店主嚣张警察不管
1699252374# #【一口气看懂：勇战果敢的缅甸政府军，为何不敢动佤邦？】。
1693226671# #我分享了【尼泊尔不承认北坡属于中国，并放言想要从北坡登上珠峰，痴心妄想】,快来看吧！|
1699947340# #自杀式炸弹背心、火箭榴弹、用于将以色列人绑架到加沙的摩托车-今日头条
1694938214# #执法人员殴打老白姓，叫肢体接触。这是哪个龟孙子专家发明的河汇。
1700564352# #1942年塞尔维亚，妇女被绞刑真实影像，原来真有人腿会发软。
1700540676# #全国各省滞留缅北人数排行榜。
1700117257# #长江日报:高校保洁从三楼把狗扔下致死，学校回应：因学生怕狗引发恐慌尖叫
1703599886# #淘宝平台争议处理规则变更：卖家在未征得买家同意前发货的且买家未收到货或拒收商品的，商品破损灭失等损失由由卖家自行承担
1693970758# #看看这样的清华教授，你敢相信他们会为民族为国家教育出好人吗。
1698099494# #转发微博
1687515664# #景区“网红大雁”被游客踢中要害离世，游客：它吓着孩子了
1692448722# #我分享了【医疗反腐席卷全国，发现一个奇怪的现象，真的让人很费解】,快来看吧！|
1693747195# #复旦大学苏教授火了做人的底线在哪里
1703650353# #百姓就能造成冤假错案，而像孙维这种名门之后，却可以逍遥法外？。
1687584466# #我就用了一招解决了楼上噪音扰民的邻居
1692947126# #人肉那厮，到底是谁？
1691195216# #台湾男子大陆高铁叫嚣：像你这种人在台湾早就被干死了啦
1692715344# #爆料店家回应九旬老太打砸门店：对方在自己店免费吃早餐半年，早上豆腐没有了开始发脾气。8月18日，浙江绍兴。网传一九旬老太在一餐馆没吃到自...
1693881144# #肝胆相照，柬埔寨建大桥需2亿美元，首相洪森直接点名让中国捐款。
1704194963# #朱令父亲公开了一份报告匿名信-今日头条
1701410645# #知错能改，善莫大焉国风正当红
1698361068# #沙拉：以色列是我的国，中国才是我的家！。
1692524280# #菲军司令已登上仁爱礁，还曾到中国留学，图片显示船体已得到加固。呵呵
1690644928# #网曝交行女职工纵容17岁儿子虐猫，专门领养猫供其虐待，交行回应。
1691984144# #司马南:查了一年，滴滴董事竟然是美军派来！国家安全堪忧！。
1694600885# #我分享了【两男孩在商场厕所外趴地偷看拍摄者：希望家长能管管】,快来看吧！|
1699337227# #【澎湃新闻：网传湖北襄阳一医院“贩卖出生证明”，涉事院长正在接受调查】(分享自)
1694760233# #江苏苏州一男子将外甥送上高铁发现被转走上万：难怪急着要回家
1692702976# #乘客列车上遇见穿铁路制服工作人员，询问补票事宜遭辱骂：“不在工作时间凭什么要服务你”
