1691335792# #去兜风，兜海风。
1694951669# #河上那座桥是北京的三环路。。延时摄影
1702649287# #北京的地铁，并不全在地下运行。。北京地铁昌平线突发故障
1687754277# #社恐症午餐。
1688568253# #“耍花枪。比谁都漂亮。刀马旦身段。演出风靡全场。耍花枪。一个后空翻。腰身跟着转。马步扎的稳当。耍花枪。比谁都漂亮。接着唱一段。虞姬和霸王”。。没有霸王守护的虞姬，即便手握花枪，始终没能冲破抑郁症的十面埋伏。。再见CoCo，好好去睡。蜡烛蜡烛蜡烛。李玟刀马旦/COCO.周杰伦音乐
1689350744# #幼儿园毕业典礼成功举行，也意味着孩子的学前教育完美收官。感谢她的几任老师和园方管理者的辛勤付出，尤其在特殊居家时期安排的21天阅读打卡活动，让孩子初步养成了阅读的习惯-这对她很重要。。更重要的是，人生中的第一个毕业典礼会给她上重要的一堂成长课：这世界不仅有相聚，还有别离。。今天之后
1698992110# #小学校园里的科技嘉年华，闺女很喜欢。
1687939141# #第一次喝酷迪咖啡。。咖啡瑞幸咖啡
1690292789# #刀郎老粉丝来蹭个热度。。。他见这罗刹国里常颠倒。。马户爱听那又鸟的曲。三更的草鸡打鸣当司晨。半扇门楣上裱真情。。它红描翅那个黑画皮绿绣鸡冠金镶蹄。可是那从来煤蛋儿生来就黑。不管你咋样洗呀那也是个脏东西。刀郎罗刹海市罗刹海市
1690211570# #羡慕，又有道友筑基圆满金丹大成，驭闪电破天门，渡劫飞升！。悲催，没带雨伞！般若般若密，急急如敕令，滴滴不排队，快车到身边！。和我一起渡劫飞升吧
1698367700# #上海医疗卫健系统处理心血管突发事件的能力还有很大的提升空间。
1691291762# #小渔村的夏天。延时摄影
1688994005# #300路特快公交，双层巴士视野好冷气足。即便坐错方向也无须担心，它会带着你在三环路循环往复，以终为始以始为终。但是，如同辽北第一狠人范德彪先生的灵魂拷问，车上的时光不会倒流。。另外我觉得豆角还是炖烂点好吃，而且豆角含有皂苷和豆素，需要高温灭活，避免食物中毒。。感谢媳妇儿给我准备的蛋糕
1691672185# #主持人：“中国实行医药分类，合适吗？”。李玲教授：“这是一个伪命题……”。医疗反腐医疗科普
1701598103# #二甲医院，周日午后，儿科。。支原体肺炎
1693191671# #龙潭湖游船指南。延时摄影北京·龙潭公园地点龙潭公园
1695465334# #遇到周末大堵车，唯一的乐趣是前车是一台我个人最爱的老捷豹。当年有机会收一台同款且是墨绿色车身的捷豹，验车的时候发现顶棚有大面积水渍，难以想象那台车经历了什么，没敢收。现在手头养着一台老车，太了解老车的整备和养护要投入多大成本了。跟着这台双色车身捷豹走走停停半个多小时，一直没办法并
1690630686# #南方的台风会影响北方的气象？。延时摄影台风杜苏芮
1691846910# #守得云开见月明。
1691595286# #这首歌叫什么名字？这几个男生是不是一个民谣组合？
1687302510# #全美儿科排名第一的波士顿儿童医院招聘广告给出了AI医学聊天工程师"价位"——年薪高达37.5万美元（相当于240万元RMB)，而且不需要AI专业技术背景。。。工作职责是什么？跟聊天机器人聊天儿、聊好天儿！不像外科医生或放射科医生那样辛苦，更不像产科医生那样操心劳神，但工资待遇不逊色这些顶级医生。
1687661544# #一大早老哥电话我，明显感到非常激动：“刚手机查了孩子达到735分，完全超预期！”并问这个分数能不能报协和医学院？。我问了一下详情，也控制不住非常激动：“不仅是协和医学院，全中国的高校-。都不看孩子的芝麻信用分！”。高考查分临床医学
1695645467# #越来越相信我活在一个虚拟的数字世界。最近膝关节会咔咔响，偶尔有痛感，就跟身边朋友讨论了一下氨糖。然后打开手机，各个平台都在页面显眼位置出现氨糖的介绍，这都没什么，毕竟手机会偷听这事儿不是啥秘密。恐怖的是，刚才进地铁车厢，赫然一张氨糖的广告出现在眼前！京东健康已经能在物理世界针对个
1691488208# #没人请我喝秋天的第一杯奶茶的话。那我就喝秋天的第一桶水泥算了。
1702561968# #雪下了两天了。
1692513982# #突如其来的暴雨，下出了深秋的感觉。。延时摄影
1688815156# #阳光不锈，有云来袭。。延时摄影
1691672695# #大娘，快从缅北回来吧，瞧把大爷给急的……
1691251455# #你想要的东西，也许并不需要急着去寻找，总有一天他会自己出现。。周星驰超话一人一句周星驰经典台词
1690861311# #下雨的时候盼天晴。。好几天没见到蓝天白云了。。北京暴雨晴天
