1701665930# #国家税务总局广东省税务局原党委书记、副局长胡金木被查（已退休五年）。
1703816680# #《公安不能参与这五件事。》公安不能参与这五件事。
1700809819# #胖揍了，舒服了——。。《城管有交通执法权吗？拔外卖员车钥匙被打，大风评：有，但缺人性》城管有交通执法权吗？拔外卖员车钥匙被打，大风评：有，但缺人性
1701071740# #倒戈了20年前——。。新媒：香港民众“爆买”深圳各大超市
1703638942# #掷地有声的评价：。1.丢掉了毛泽东思想，中国就完蛋了（钱学森）。2.毛主席比我们早看50年（王震）。3.丢掉毛泽东思想造成党和人民思想混乱，我们社会主义国家就可能变质，子孙后代就会受罪，我们不能不看到这个危险（黄克诚）。4.反对毛主席中华民族的灾难就生了根，总有一天
1701296676# #《大国重器，列队出发！》播放量：2.4万。点赞量：798
1700953805# #卖红薯的干活——。江北融媒:办事服务窗口多次要求提供不同证明,女子认为没有一次性说清楚而发火,网友：屏幕上的宣传话语很讽刺！(来源荷露香亭养生spa会所)...
1702386761# #这些正厅级干部为什么是由中央查处
1701770133# #《一群落马贪官口述纪实，让你无法想象奢侈生活，连贪官自己都不信》一群落马贪官口述纪实，让你无法想象奢侈生活，连贪官自己都不信
1703826385# #时间直播:12月28日凌晨，甘肃积石山，当群众们还在深夜熟睡时，救援工作接近尾声，子弟兵们已悄然撤离。致敬人民子弟兵甘肃积石山
1702644247# #广东省委第十三巡视组原组长闫宝璋接受纪律审查和监察调查。闫宝璋曾任惠州市纪委书记，这是继李松后又一名被查的惠州市纪委原书记。
1702198860# #《敢相信连公交车都换不起电池吗？多地新能源换燃油车：市场说了算》播放量：1045。作者：大风文字
1702501440# #当代大义灭亲者——。最新！副局长被儿子举报出轨后续：更多细节曝光！被降为一级科员
1701220041# #《警察叔叔要查看你的手机，可以拒绝吗？》警察叔叔要查看你的手机，可以拒绝吗？
1700433357# #强烈支持严惩腐败，违法乱政，有法不依的害群之马……！加油加油加油
1703380729# #赞啊给力赞
1703036748# #刚刚喜获，桂9名学员全部通过区域（崇左）45天一把刀生存考试，对这批特培生如此优秀的成绩，阿拉从内❤️发出喜悦，特别是我最提心吊胆的6号学员，身材娇小，体能稍弱，她竟然勇获以全能全项第一的好成绩——拔头！赞赞赞赞啊赞啊赞啊鲜花鲜花鲜花除了㊗️贺还是㊗️贺！。希望她们
1702970228# #为爱国爱港人点赞！赞啊赞啊赞啊。。童宝剧情:说的好！香港大叔，14亿中国人民支持你！点赞➕转发
1702440642# #司法是否公平公正必须公开，接受公众监督，否则，法将无法……。
1703634832# #国假一栏表——
1702979914# #人命大于天，为什么会如此草菅人命？。镇灵通:地震时多所高校学生被困宿舍，疑似因宿管人员不给开门，“没接到上级通知不能开”（来源：就叫周、大连好）甘肃地震社会百态大学...
1700720120# #《戴连先，严重违反党的政治纪律、廉洁纪律、生活纪律，构成严重职务违法并涉嫌贪污、受贿犯罪，且在党的十八大后不收敛、不收手，性质严重，影响恶劣，应予严肃处理……天津》戴连先，严重违反党的政治纪律、廉洁纪律、生活纪律，构成严重职务违法并涉嫌贪污、受贿犯罪，且在党的十八大后不收敛、
1701558308# #一个小县如此猖狂，可想:一个市，一个省，一个国家？可怕……！
1701903823# #赞
1702983660# #煮豆燃豆萁，豆在釜中泣，本是同根生，相煎何太急？。《俩着交警制服人员当街打架九江交警支队回应：介入处理九江交警最新回应》俩着交警制服人员当街打架九江交警支队回应：介入处理九江交警最新回应
1700690796# #如今骗子也上“榜”了……？哈哈哈哈哈哈
1702603259# #话筒话筒话筒
1702252298# #深圳宣布护士将拥有处方权，是冲击或机遇？上海专家透露：正稳妥布局相关试点
1701867614# #《辩护人态度蛮横藐视法庭，侦办人员被呵斥（二）》辩护人态度蛮横藐视法庭，侦办人员被呵斥（二）
1701838797# #广东汕尾市生态环境局党组书记、局长叶子美涉嫌严重违纪违法，目前正接受广东省纪委监委驻省生态环境厅纪检监察组纪律审查和汕尾市监委监察调查。
1703824583# #赞啊赞给力
1701791742# #把南京“执行”给了安徽？最新：法院已启动追责程序
1700437210# #赞给力咖啡
1701217163# #为什么有钱富翁大大大部分都去了国外？中国不是世界上最安全，最舒适，最有收引力，投资环境最好的国家吗？
1702896977# #广东5名干部被查！涉嫌严重违纪违法
1703377856# #爱尔爱你不容易，这下变臭了……！。今日头条
1703892064# #加油赞给力赞啊
1700559525# #『广东：推动粤港澳三地居民统一身份认证』
1703852274# #贺爱国涉嫌严重违纪违法，接受海南省纪委监委驻省司法厅纪检监察组纪律审查和万宁市监委监察调查。
1700960136# #知法犯法！交警骑电车带人，还不戴头盔，被男子质问加油门逃离
1702857398# #世界上怕就怕“认真”二字——。观察者网：【“玩弄女性”、“腰里别手枪”，专家回应新华字典被诉部分注释释义不当】据看度新闻报道，12月15日，一名网友发视频称正式起诉《...
1700442720# #《周一侃劝》。幸福本身从来都没有哪一个版本更高级，只要是幸福都令人向往；也没有谁配不上谁，只要自己认为是“般配”即可。特别是年轻人，你可以努力到出类拔萃。也可以无所事事。假如你懒，那你就懒得要乐知天命，最怕你见识打开了，可努力又跟不上，骨子里清高至极，性格上软弱无力。现在能充分了
1702296339# #中央纪委国家监委：16人被查，14人被处分
1700789146# #还有人民警察原来是这样？。。《北京民警来太原旅游，被打死，主犯居然是一名刑警》北京民警来太原旅游，被打死，主犯居然是一名刑警
1701122785# #洁身自好吧，苍蝇不叮无缝的蛋……。
1703569080# #帮中国把台湾收回吧！
1701562536# #民族的败类——
1700968987# #鲜花鲜花鲜花赞啊
1703760712# #公安部紧急提醒！这种投资项目，全是诈骗！发现请立即举报→
1702679883# #给力咖啡赞啊
1701045705# #中国国际政法研究院院长陈中华发表的最新言论引起了巨大反响，他特别强调，国家赔偿责任应由违法的警察、检察官和法官负全责，特别是在徇私枉法、徇情枉法的情况下，必须追究相应责任，以减少冤假错案，不能把个人错误的后果转嫁给国家和人民财产，唯有如此，才能实现公平正义。
1701477652# #7岁女孩就独居5年，长大后却如天使般美丽，看完我哭了4次！-今日头条
1702603223# #话筒话筒话筒
1702296754# #中国工商银行福建省分行原党委书记、行长俞龙涉嫌严重违纪违法，目前正接受中央纪委国家监委驻中国工商银行纪检监察组纪律审查和云南省监委监察调查。
1703940348# #老美催债了！许家印狱中传出新消息，1000亿美元到底谁来还？-今日头条
1703999181# #《请天津市纪委监委进行关注》请天津市纪委监委进行关注
1702777037# #虎妞狼爸:河南人惹谁了？是谁丑化了河南人？河南河南dou知道河南人
1702686630# #追回的赃款都用在民生改善上了么？为啥贪污腐败数以亿计的这么多
1703671822# #河南省委原常委、政法委原书记甘荣坤受贿案一审宣判
1703651564# #广东省梅州市公路事务中心党委委员、总工程师朱辉涉嫌严重违纪违法，目前正接受梅州市纪委监委纪律审查和监察调查。
