1691505054# #家奴与苦力
1690430168# #鬼谷子-有声版
1690158566# #终于见到真的洗孩机了
1700094463# #英语关键词汇
1695690876# #写作公式
1688599193# #水果的流亡史
1690434988# #小型有机农场
1692261505# #霸气又超萌的兔狲，小型猫科动物里的猛兽，别名洋猞猁、玛瑙
1703605759# #很特色
1694781040# #山海经中的奇珍异兽
1691912687# #轉發微博
1703138503# #诫子书寒窑赋钱本草驭人经
1689927448# #福禄双全
1698967562# #这才是农村建筑的样子
1694611493# #风情万种千娇百媚的鸟
1694580640# #猫狗演绎的《岳阳楼记》
1695633823# #水属性强
1692354477# #小学生学习规划
1687647480# #故宫的风水布局
1703213841# #为什么感觉现在挣钱很难？
1692951506# #2023年要不要买房？
1699238408# #如何引导孩子
1696238828# #熊掌都荒了
1688888119# #传承
1700528269# #年终工作总结万能开头结尾
1691138873# #不可控的未来
1702600866# #转发微博
1698430957# #1977年的北大
1701615674# #中医治咳妙招
1700460671# #健康的饮食
1689525136# #驼背
1703741932# #转发微博
1695526080# #万字符
1689171922# #一眼超元年
1703208933# #高中的逆袭
1690129564# #商君书的思想
1699452834# #巴勒斯坦的怒火
1703219462# #酒精的把戏
1687616552# #捡球
1696237550# #休息
1699752175# #酣畅淋漓
1690435626# #朝俄会
1693709173# #九尾狐的狗尾巴
1703916175# #说身高跟食物没关系的来看下东周以后女性被投喂低营养食物、身高代代压低
1692264803# #匈奴、突厥、契丹、柔然、女真、鞑靼......民族发展脉络
1700619260# #沧桑
1689131869# #双塔的名场面
1699417527# #民族脊梁、良心
1691228030# #深谙兵法的狐狸
1695776282# #羽毛球步伐
1693323112# #车晓菲《女儿国》
1691423123# #上流社会的定义
1701255601# #转发微博
1703570937# #《鸿雁》
1689139091# #转发微博
1699843978# #中国式饭局座位图一览
1703979237# #隶书的笔法
1691710699# #Thereisa$500forreturningthelostcat.(送回走失的猫可获得500美元的奖励。）
1698667095# #玻璃上的舞蹈💃
1689432150# #减震耐磨？
1698656231# #阴阳回环乾坤逆转
1698666385# #水💦的文字
1689631594# #姹紫嫣红五颜六色
1698669044# #满城繁华磊落人
1688743788# #没有伯乐
1691468631# #暴雨、洪灾后容易出现的疾病
1694529957# #胡笳十八拍
1697493889# #日环食
1702396523# #根本性的問題
1697730927# #小学鸦鸦学语的英文作文，太不让人开心了
1691486823# #转发微博
1697152435# #八字手
1695106200# #OPPOwatch4Pro
1703760899# #转发微博
1692354404# #欲望促进创新
1692829174# #系统工程
1693712824# #正弦余弦曲线图
1689124606# #细鳞鲑鱼跃龙门梦想成真
1688779248# #穷人思维
1701359399# #转发微博
1691538436# #深巷喧嚣的罗刹海市
1694015927# #纪录片《天才之争奥本海默与海森堡的较量》
1690758917# #民间智慧
1698431536# #转发微博
1692944337# #中医的食疗
1690081481# #松鹤延年
1690860403# #哈佛大学桑德尔公开课，以社群主义的观点解读康德主义，来反驳罗尔斯的《正义论》
1701718373# #死亡跳水
1699407915# #以色列的本性？
1700724219# #沙漠宫廷大戏
1700222310# #安徽宏村塔川天空出现绝美丁达尔现象
1699503926# #学习安排
1692166868# #手影
1694483276# #科学小知识
1700719478# #荣禄望远镜看到毗邻使馆区域被轰的七零八落说“这个张怀志以后得好好保举，苦了百姓但救了国家”
1691061634# #羞不可言的🐆
1690693604# #水滴的弹性世界
1687757292# #汉堡的制作流程
1698121786# #π---宇宙的密码之一
1693633985# #控制脾气
1691463164# #新词偷摸挖
1697157735# #银杏小鸟
1687617067# #曹操？司马懿？无法预料，看历史如何续集吧？
1698321617# #PPT
1690973730# #有可能是在某种允许范围内，但果农们自己是怎么吃的呀？
1693913645# #羽毛球一分钟训练
1701219409# #工作学习表格大全
1701167213# #遇水后的自救
1688902365# #行书字帖
1695612295# #理想国
1688520369# #《胜利进行曲》，是一首由俄国作曲家涅斯捷鲁科所创作的歌曲。这首歌曲作于1943年，是为了庆祝苏联在二战中的胜利而创作的。
1701048546# #太难了
1691034681# #可敬
1693300707# #都是狠人
1700222969# #最执着的愚昧偏见
1704069818# #转发微博
1703514473# #金箍棒舞法
1701823329# #鲍鹏山讲《荀子帝王的幕僚》完整版
1691031558# #苟苟营里欢乐多
1692677039# #转发微博
1698496192# #信息安全『外交部人权事务特别代表：联合国应阻止有关国家大规模电子监控和个人数据搜集行为-今日头条』
1703312578# #转发微博
1699308232# #油盐酱醋的秘密
1693724265# #高华教授讲授的解放战争历史
1703571025# #馅饼
1692963505# #赵孟頫书法《洛神赋》
1691718095# #单利与复利9/13=0.6923，跟ln2=0.693就差不多了
1693975279# #孙立人将军复冰心书
1692393343# #精细化的情报
1698890756# #转发微博
1701878747# #羽毛球之线路
1691538364# #知世故而不世故，历世俗而弥天真。
1701214777# #作业纸
1691709926# #猫咪版《陋室铭》
1698814074# #妈妈与孩子
1692167901# #夜空中的星链
1690610817# #罗刹海市童声版
1697731601# #科学的时间管理
1693793259# #天籁般的轻音乐
1699307878# #权责
1692591862# #小学数学中的简变运算
1698282104# #幽灵阻车
1692968986# #敬畏自然
1697932517# #夏商周思维导图
1700884007# #英语
1695879104# #硬笔书法200个偏旁部首
1698321105# #道砟
1689691951# #关于日本的一些……
1688792792# #罗永浩的求职信
1689426471# #一个动作——静蹲，可保护膝关节。我从16年开始膝关节痛，路不能走，后看到协和医院骨科医生视频，说静蹲有效，从17年4月开始静蹲，每天10次，每次2分钟，坚持到现在有六年多，效果明显，现在膝关节不痛，平地可以走90分钟。具体方法，在我2023.4.8的微博有介绍，可以参考。
1690691779# #熟手
1697247396# #和风细雨中的狂暴
1698654496# #四季如梦似幻
1692767064# #转发微博
1698736668# #满城花一腔血
1692696475# #冷静的狗子
1699155259# #高监
1688743899# #文明国家会认为他们是英雄，他们为国而战忍辱负重。野蛮国家会认为成为战俘就是一种耻辱，因为那里的人只是工具。
1701718607# #救市……
1696820767# #生姜（12-15度为宜），南瓜（＞10度为宜），洋葱，蜂蜜（不可储存于金属容器中），大蒜（受潮变质，串味），热带水果（10度左右为宜），面包，土豆
1691538845# #转发微博
1698430505# #中国农村结构体系转换
1694567059# #王德峰教授讲《“儒释道”三家的智慧境界》
1695564578# #无官一身轻
1694401723# #转发微博
1700445640# #四大发明
1689941452# #卤肉的配料
1689266570# #转发微博
1698900451# #南京的秋色
1699759587# #转发微博
1702530936# #转发微博
1700719966# #方言
1695783458# #大变活人
1691911211# #艰苦的旺财
1698739528# #中国区域气象地理常识
1699579826# #语文答题模板
1687644145# #瓦格纳的梦幻之旅
1691767126# #科学小实验
1696751993# #九山八海四大部洲
1695826241# #曼陀罗炫舞花
1698736857# #5000以下十几亿
1692394239# #南半球呢？
1701928161# #历史上的探索
1698376038# #僵硬
1692676847# #转发微博
1692828132# #轉發微博
1692330724# #转发微博
1691294276# #这也是一段历史记载
1687858849# #颜色与温度
1701846909# #名联
1697669871# #中国地理概况
1699453035# #深深的震撼
1697787863# #语文写作模板
1697643898# #大自然不关心生命
1701916599# #有点欺负专业表演的意境了
1699431221# #这么拼命的初中学习网点
1702617158# #星光璀璨的银河系
1692952547# #Word用法
1699035712# #转发微博
1689630968# #小馄饨
1703464896# #英语12种时态
1690198836# #高超的捞面
1687644635# #午餐
1704019690# #寒蝉骑瘦马
1695782600# #传承久远的饭局
