1697334300# #气温开始持续偏高，最高气温每天接近26度
1700524201# #现在胶囊咖啡那么便宜，一颗胶囊双十一活动就2.6元....早晨直接两分钟弄一杯咖啡了，外面怎么还有人去买二十，三十，甚至五十一杯的咖啡呢，钱太多了吧
1692415714# #40岁以上失业的，家里又没有房租收入，快揭不开锅子的，现在浦东机场招聘行李搬运员，做二休二..五险一金，税后收入6500到7500元，每天八小时工作时间....餐补660元每个月，无交通补贴，截止报名年龄45周岁....适合40到44岁之间难就业人群上岸....辛苦活....笔者不去报名了，太远加上工资低，留给需要
1692772854# #倒逼利好出台
1702711520# #共青森林公园今天白天气温，配合最大七级大风....冷到骨子里
1704191341# #最怀念1985到1997年的上海，真正经济逐渐起来....居民是上海人为主的上海
1701303878# #头一次看到送个外卖直接开进商场取餐的.....松江印象城.......
1699153092# #工业革命和导致的碳排放比180年前增加了数亿倍......如果人类在1800年后科技没有发展，人口数量也一直维持1800年水平，那么地球就不会变暖，这180年地球升温几乎全部都是人类活动导致的，羡慕1840年之前的农民，他们的一辈子都不曾经历气候异常持续变暖。
1699024070# #2023年11月3日深夜23点，市区气温21.4到22.4度，徐家汇21.9度.....大幅度打破历史同期深夜最高气温
1691063132# #全球气温升高趋势不可逆了...中国从1987年开始冬季气温大幅度升高，36年来冬季三月只有1993年一月，2005年1到2月，12月，2008年1到2月，2011年一月，2014年2月全国气温偏低，其他按以前标准都大幅度偏高
1702089050# #30到40难就业人群看过来.......12月11号统一面试➕普陀区银行大堂助理5名➕做五休二。。地址:普陀范围内。。岗位职责：。1.协助大堂经理做好客户服务工作，包括但不限于业务引导、业务咨询等；。2.协助管理厅堂环境，及时更新业务宣传信息；。3.协助管理厅堂内各类机具设备，确保机具正常运行；。4.协助客
1687179894# #今年梅雨季雨量有些夸张，连下三天大到暴雨了.....端午节还有一天半的雨水
1691721740# #去看个病排队1分钟，看看1分钟笑cry笑cry
1702352040# #今天白天气温一直升不上去，体感很冷，预报完全失误啊，报了最高十度压根没有好伐....我预计12月16到12月26日气象局没有一天气温能报准，哪怕盯着徐家汇报都是每天报得严重偏高
1699667621# #这种工具是男人的最爱啊，全套螺丝电动工具，啥东西坏了就自己修了
