1704430349# #陶波哥你懂的
1703224475# #真是一款动态比静态帅的吹风车吹风车有些人就应该美美去当平面模特而不是来影视圈祸害人吹风车比如那个谁那个谁还有那个谁你好
1702901127# #我鼓掌叫好，菌菌还是老实去当1吧，休想让我们做🍉捏比耶比耶
1701782006# #拍机智牢房生活是给自己积攒经验了是吧，丁海寅汗
1702867833# #三大队确实是会让emo爽翻天的一部。
1704599054# #还以为最后会穿到恶魔变态身上，哈哈编剧也有点搞笑，得死够十一次才认识到给亲人带来的伤害，男主情商和智商都是负数奥姆
1704541465# #刷个小🍠，看到个评论没把我乐飞二哈好好好下周我们wbzy男女主必须给我拉手转圈圈，不抱一下我可要急眼奥姆奥姆
1703431478# #老哥哥们加油，小哥哥也是，海报别再ai作图了拜托
1703175814# #第一张图我真以为把唐嫣工作室的人调包过来了，就尼玛离谱。。
1703898783# #俩人粉丝加一起都没有别人一个人的黑粉多，打个啥劲丰收了丰收了
1704480982# #大半夜还能随机到人一起和我听雷妈老师爱你
1702783165# #请允许这个世界上复位这种生物的存在丰收了丰收了
1704568985# #从看到鸣龙少年预告的时候，就觉得这剧要遭，偶们还是很有先见之明的，成功绕行，癫剧太多，少看一部是一部
1702832450# #新的一年请住在横店汪洋海蓝比心汪洋海蓝比心，多拍戏多上综艺吹风车
1703128993# #咋还不上班奥姆奥姆
1703443916# #临近三点突然开播？
1703469838# #竞丝每日一敏感丰收了丰收了
1703848839# #每天都闹笑话的自认为红遍天的（）
1703438986# #有些老演员粉丝滤镜也挺重的，不能因为时代过去了，曾经的就一定是最好的不容置疑的吧，还要按头所有人认可一些演技台词一般的人。谁小时候没看过几部老古董电视剧啊，谁没吃过好的，不能有资格点评呢。不允许质疑这和一些棒团前辈丝自认为比后辈团丝高一等的心态有任何差别？很会审美八零哦。
1704478105# #看书
1702769570# #搞暧昧啊请搞🥹
1702896357# #哎呀我服了doge
1702797458# #又纯又欲的感觉啊汪洋海蓝比心汪洋海蓝比心
1703046094# #毒鸭姐怎么把视频删掉了，有路透也不影响正片多少的呀，更何况这段是名场面融化融化
1703927130# #笑死，最近非洲是有什么任务需要输送内娱艺人去那边的么，又是选秀又是探险二哈二哈
1703953250# #这把rank再不结束我要脑溢血了。。。。
1703403794# #我纯当是天气冷了要捂住了哈，闷乳鸽剧组梳化咱心里早就有b数了么🖕🏻🖕🏻有什么好挡的奥姆有没有多少新造型丰收了丰收了
1703354411# #能别吗，已成🧊的新晋口头禅看书
1702880901# #哎哟喂，搞什么很幽默啊二哈
1704566498# #世界是一个巨大的精神病院吹风车
1703241049# #壳叔选了发条，行吧汪洋海蓝比心
1704394174# #其实小抖那几天也没咋rank，闷竞男真是一声嘴硬一生嘴硬
1704465115# #一些📷📸
1703486772# #我的沉默◔̯◔
1703856461# #可以下一部了🫰🏻
1704040579# #哥几个真加油汪洋海蓝比心汪洋海蓝比心
1702920082# #想要平等被眉疑问小白追⭐都不会这想法吧，更何况大家都是老油条，自己开心最重要，不满意咱们就找个眉生眉死的好了，别将就🫰🏻
1703528691# #我希望这个罐头不会过期。
1703305505# #啥时候偷偷上班去了？
1701782216# #🖤🖤
1704477576# #看到好多人吐槽你也有今天，鲜藕还是轻易不要碰，爆也就想想罢了不被大规模吐槽已经够好了，有的运镜垃圾还有死亡滤镜，演员演技短板的话，表情做不好就会五官乱飞，摇头晃脑要不就是傻乐瞪眼，看着很不聪明，古偶好歹能掩盖很多演技上的缺点
1703961917# #真的很佩服泪泪这种自信开嗓的勇气，甭管有多难听，就是敢唱不管旁听的人死活，明晚的歌估计又要电量拉满了吹风车吹风车
1703600469# #有人虐恋也是一种好事，总好过nbcs被遗忘吹风车
1702969196# #就应该打包去拍🐏过和小🐉女
1704051632# #看了泪的后台采访，真是太喜欢和这种人做朋友了，聊起天来特别舒服自在，会接梗会认真倾听，不会像一些喜欢打断别人话发表自己高见的神金自大哥那样装杯。谈吐自如，不会一会蒽一会啊的半天蹦不出来一个屁来，作为主持人最喜欢采访这种嘉宾了，又健谈又低调又有礼貌又会脸红害羞还会画画还养眼吃馕
1703816100# #哈利波特大喊着，休要碰瓷奥姆奥姆
1702926986# #我寻思怎么漏了警察荣誉里曹建军之死，猛的一想居然是去年的剧了，今年烂剧也太多了点看书
1702809229# #来看会冰冰直播吹风车吹风车
1703418771# #鸡条这节目做的比好6，王牌和跑男有意思多了
1704472918# #明天的任务:。看完死期将至，鸡条，德杯决赛举车
1703155711# #老牛你这张自以为是的破嘴迟早害了你自己奥姆
1704040427# #加油天神汪洋海蓝比心汪洋海蓝比心
1704213356# #要加戏丰富人物关系很正常，要改戏改人设嫁接高光的话为什么还要买小说版权拍啊，完全重新写故事也不是很难吧，毕竟已经捏合得完全两个样子了，谁还敢说这本小说叫吕匠心啊奥姆为啥不找自己满意的人拍男主呢奥姆
1703468662# #状态真的好好，就等新剧咯汪洋海蓝比心汪洋海蓝比心
1703264582# #来福哥，你也有点太菜了点吧，在韩华这一年歪婆也太受苦了看书看书
1702907962# #意念观删让闷垒来演该多好🫵🏻🫵🏻
1704044519# #真的是毫无cp感啊沃德马，景美人美但男科
1703438468# #辛爽能不能再下凡拍部悬疑剧啊，如果可以，请拍19年间谋杀小叙流浪地球2流浪地球2
1703748740# #怎么能没有我天天看的原呢奥姆奥姆
1703761611# #我心里有事。
1704016794# #让帝的bp真是厕厕又纸纸哦阴险
1703964062# #有人不懦了竟然吹风车吹风车
1703397349# #捏妈终于等来，小四加油，大o在播
1703470638# #这么看☁️之☔成绩也不错了，今年年初杀青九月无任何宣传紧急空降，半个月光速播完，相比其他剧都没几个配合剧宣的集体活动和直播，主演们太忙档期排不开很难合体，几个糊逼手忙脚乱的。
1702922244# #大半夜的阴间打野哥怎么这么多啊，棍啊丰收了
1703957195# #mdie笑死我
1703164896# #今天是一点路透都捡不到了꒦ິ^꒦ີ
1702981918# #好不容易排到同一把，怎么还跑对面去了猛男融化
1703259896# #其实是gxs和yz的拉郎（不是）
1704075701# #鹅的剧宣做得有够差的，谁看你那文案啊，要看脸谢谢丰收了丰收了来点动的视频啊，没视频也来张图啊奥姆奥姆
1704254468# #好不容易遇到一部男女主都让我想看的剧，妆造再差我安慰自己剧情说得过去谁看剧的时候一直盯着衣服啊，本来只担心重生部分会不会改得离谱，好家伙，现在完全魔改了，那这剧真是完全没有爆的命了，自己防爆自己，牛的一
1704116109# #我可能是被pua了，我竟然觉得打得还可以，有点韧性了吧
1702928600# #完了，突然又觉得我们是正确的五个人了丰收了丰收了
1703997371# #🍅台你的节目单呢
1704048996# #大半夜我在🫘看越南老哥们抓蛇丰收了丰收了又怕又好玩妈的
1704567578# #新版的先锋真的太搞笑了点吧奥姆奥姆
1702893798# #在破站发的视频下面总有人来拉屎，贱贱哒你们
1704039302# #新的一年的愿望就是我和我担都赚大钱，本复位可以有更多cp可以磕，好演员们接好本子拍好剧给我看，我主队每天都在赢，讨厌的人天天倒大霉出门踩狗屎！
1702055821# #真成了啊
1703577921# #好好好，最好把原也给我缝进去❤️
1703653628# #可怜的小老四（不发昏逛街版，明年和这群小帮菜打完身价又要降了，至于风评更没法救了，没准明年和50一起被轮换，这只能说猛男确实好跑
1704600462# #开看鸡条，第二期畅游
1703642708# #有些人能不能别全平台过分咯噔么，路过的真假鹭人刷到后哪里管你有多辛苦只会来一句都208了少卖惨赚那么多委屈啥丰收了丰收了咱还是回到浪国小天地里发这些吧，🍠和🫘发点动起来的路透不香么
1704050863# #终于把舞台给看完了，两只可爱的小夹子汪洋海蓝比心
1704379897# #这是怎么认识的吹风车吹风车吹风车
1704392872# #我又复活了，啥事都是磕个药可以解决的
1704090920# #纯在虐啊二哈
1703120050# #林坚你这听歌第一是范进中举也有点太油麦了
1702654074# #咳咳，我来了
1703163377# #有人结婚，有人二婚，有人前妻点赞现女友，这个世界的婚都让闷208w结了得了，还有娃，也是你们的指标了
1703479302# #小破站每年的跨年阵容都让我很满意🫰🏻
1703963647# #大🍑小🍑最不缺的就是流量啦二哈二哈
1703813010# #被lzk身上的弱汁味冲到了看书请做一个成熟的cv
1703527974# #hello？。支持大张伟来首《胡说胡有理》
1703478586# #这个朝代被我拉黑了（）
1703184823# #看切片，好热闹的陶波基地，50明天看到切片又要羡慕了，四叔又要傻乐了吹风车吹风车
1703593687# #拳击队队歌《gee》
1702639362# #是谁的嘴乐得合不上了丰收了
1703871243# #小牛这么猛的么汪洋海蓝比心汪洋海蓝比心
1702870022# #今天有外景，嘿嘿吹风车
1703526752# #闷ylq真是一个巨大的给吧，随时随地发现新鸭
1702801724# #被追着喂饭吹风车吹风车
1704024942# #好可怕，东方台你确定要真唱么，不过专业歌手唱的都这么难听，偶们演员被嘲也无所谓吧
1703677285# #我网吧队的菜市场语音呢吹风车吹风车陌生
1703243531# #大家都很可爱（没开赛版）吹风车吹风车
1704016594# #今晚就看这些了吹风车吹风车不过我要先把皇碧大战看完奥姆奥姆
1703664509# #难烘这破剧遛了一年人了要，钱都用在营销上了吧丰收了丰收了
1703439783# #一些男导演嘴上说什么为了艺术献身，实则不过是为了满足自己的特殊癖好让女演员又脱又露的
1702177129# #好养眼的画面，我晕倒吃馕汪洋海蓝比心
1703638637# #好大的脸嫌弃演技吊打十个来回的美女小🌸，还不庆幸着一直横店无缝呢，哞丝是真没看过他在🐳消防员剧里的现代扮相还是忘了微微一笑就能夹死不止一只蚊子的褶褶了啊
1703319996# #老登们胜率都还可以吹风车吹风车
1704029214# #为什么给老歌手选悬溺这种歌啊，服了
1703181329# #原来一两年前我们就涛过这问题，那个时候对锵姐的印象还是一个说话0味冲天有点演技但不多的电影zky吹风车如今已是我们小踩嗑药鸡的新宠看书
1703180211# #我们下路组rank状态还行吹风车吹风车满意满意（截止23.12.22半夜1:36）
1704101042# #我服了，今天又333333
1704035308# #两只萌物汪洋海蓝比心
1703490957# #好久不赛了，陶波哥，可以相信一下的吧丰收了
1703899724# #支持金敏喜复出丰收了
1703867076# #宁们能不能提点不这么尴尬的问题奥姆奥姆奥姆奥姆
