1703740880# #@农田生态保护
1703740978# #转发微博
1692315569# #中国发布超话
1692861396# #该吊人可能精神分裂症了应赶紧就医！
1698398777# #知道事情太多了？
1698993555# #转发微博
1691712430# #中国发布超话
1691272170# #中国今天还推四针，而且全面普查漏打，这种是涉嫌团伙故意杀人，《所谓紧急调用？》谁下文敢公示？这是中国人的生命！主管单位？
1692795674# #《“辉瑞”公司爆：1.68亿美元贿赂中国相关人员。谁拿了赶快自首》播放量：2.2万。点赞量：1738
1692418653# #活该
1693198012# #
1698493126# #一个心脏起死回生供货源？心脏可以从火葬场内提供？媒体还敢当主流宣传？
1699512646# #好好查一下既然有研究《致癌试剂？》
1697075662# #
1692001945# #有听说？
1693533816# #分享视频
1699938890# #这种假的少创！
1704058457# #给外国狗下跪，董卿被指责崇洋媚外！
1704019431# #这样如果一家人一人腐败了！非法所得数额上亿万元然后转移资产那就免追究责任对吗？
1702797370# #世袭补员，工岗境外优先爱国人皆有之！
1701939786# #中国台湾首先公示个人财产！
1691276036# #分享视频
1703741187# #转发微博
1702676711# #@韦观Leo
1692317022# #分享视频
1699965510# #司法，公，检，法，为什么不是以法律依据为准绳？却《为大局服》？什么叫大局？你腐败了不能说你叫大局？你违法，违宪不能纠正你叫犬局？
1704058316# #《给外国狗下跪，董卿被指责崇洋媚外，了解实情后网友纷纷道歉》一张董卿给外国狗下跪的照片流传出来之后，广大网友纷纷指责她崇洋媚外。
1693554066# #
1691729367# #会屏蔽？@全国人大
1693703099# #吃的特供，假装親民，甚至先安排好的！
1691550570# #我也搞水利这课我懂得很！但为什么中国人民百姓在被洪峰追赶过路费遇阻《没遇一醉汉》開闸放人？地震逃生要等领导批准？是跪习惯了？不敢站立，？救援，消防车照样收保护费？还有人性？
1692838316# #拿人民当白鼠？谁拿了辉瑞的钱？请你们不要躲猫猫了！》司马南：谁拿了辉瑞的钱？请你们不要躲猫猫了！
1691777931# #
1692253172# #刀郎讲到一些灵魂深处！你是中国人吗？你儿子出狱？
1699908108# #『创无限|台湾同胞探访青年众创空间共谱两岸创新合作新篇章』
1691550693# #我也搞水利这课我懂得很！但为什么中国人民百姓在被洪峰追赶过路费遇阻《没遇一醉汉》開闸放人？地震逃生要等领导批准？是跪习惯了？不敢站立，？救援，消防车照样收保护费？还有人性？
1700319592# #《法律规定普通人坐牢后对子女的影响》法律规定普通人坐牢后对子女的影响
1697292646# #让它网紅！
1691278261# #@中国普法
1693337398# #神速只知叫册帖没讲啥原因造成？@直通屏山
1691729335# #分享视频
1699751556# #先带头签捐献！
1703741067# #转发微博
1691280786# #三农农村农民快手
1703672172# #分享视频
1700656610# #晋江安海为什么中药不能报？
1692862331# #分享图片
1692533642# #57个民族目的何在？
1691377586# #境外免费，國内人民？
1692699225# #中国发布超话文化垃圾成堆，毒害青少年横行！必引起高层足够重视！
1704000341# #
1691778119# #分享视频
1701833808# #有影？
1701327996# #临时工？
1693722667# #
1702203155# #@土地督察006
1702162730# #烂尾楼谁应担责？
1697635995# #分享视频
1700831602# #依法没据！
1691275888# #
1691550025# #水库畜水都内圈垄断印钞机，提前泄洪分流万一才没雨既得利益团伙少赚，洪峰下游被淹有保护伞撑着没事！
1691332126# #部长之声超话自然资源部喊你看视频啦你讲很精准！看下视频！比秦岭还巨案！全国国土调查敢现埸查处？万一查到你顶头上司怎办？住建部摸查地方违建别墅唯独这摊不敢摸查？中央纪检委开通网超话我为大督查提建
1691331891# #中国是黑猩猩的印钞机！
1701642846# #动用上海市卫健委，公务员，军警献血它是什么人可调动《國家机器》？为什么删帖？@国务院公报
1691371423# #我的足迹：我一直在呼吁任何人都不要接种任何一种新冠疫苗，不仅mRNA，腺病毒生物技术灭活的也不接受，因为首先它们统统都是试验品，世伪带动疫情恐慌推销假疫苗的前科历历在目，而且疫苗免疫一切疾病的理论没有经受住实践和历史的检验！知情自愿同意
1700366162# #卖汽球一天能赚多少少？
1691396107# #红会向苏丹捐赠物资，现在号召大家为北京水灾捐款。。『红会向苏丹捐赠物资，现在号召大家为北京水灾捐款』
1699870183# #爱国立法？电视节目國防，交通，科学知识，法律文献，幼儿启蒙收保护费才能看，他们还愛國？@学习强国
1700970354# #为什么这样用词？
1699297383# #吃屎畜牲真多
1691557250# #中国发布超话
1692948335# #该畜牲要吃屎
1691279815# #确实！【宋祖德老师谈；老板行贿、色贿官员的新花招！刘信达宋祖德行贿快手
1698208854# #
1691275971# #P图技术太差了！
1701406040# #【建园40周年特辑】寻找曾经的您——晋江市安海镇苗苗中心幼儿园寻找校友公告
1691856751# #
1698532384# #看图识文！多些爱国！
1693459204# #它研究什么有功？
1700320203# #
1697635931# #分享视频
1704019618# #数额那大怎贪法？
1693210336# #
1693006751# #中国发布超话谁病了？
1701594172# #中国发布超话19:/！R5HX69S6RnXu1Ryc！
1691282929# #“合法腐败”这个概念令人茅塞顿开！。。不耍流氓&nbsp;2023-07-2800:53&nbsp;发表于河南。。↑↑点一下上方蓝字“不耍流氓”关注+星标。。“合法腐败”！这个概念。。令人茅塞顿开。。朱振和在《合法腐败与腐败的社会化》一文里，提出了一个“合法腐败”的概念。。。他举了2007年1月8日出版的《财经》杂志揭露了的一位高级
1698873424# #分享图片
